"Ticker","Price","One-Year Price Return","Six-Month Price Return","Three-Month Price Return","One-Month Price Return"
"ACES","1630","8.72","-1.82","2.21","-7.16"
"ADRO","1295","-19.49","13.51","3.28","-14.29"
"AKRA","3050","-18.33","18.55","9.7","-11.18"
"ANTM","2870","206.9","310.77","153.08","45.5"
"ASII","6475","-8.3","20.95","27","4.53"
"BBCA","35175","1.11","10.36","15.59","1.56"
"BBNI","6225","21.86","29.26","24.23","-3.57"
"BBRI","4780","3.1","48.09","41.77","12.59"
"BBTN","1780","-20.47","30.04","30.53","-8.31"
"BMRI","7300","-4.53","39.81","29.39","15.23"
"BSDE","1165","-10.76","49.33","32.54","-9.68"
"BTPS","3470","-22.69","4.7","-9.73","-6.18"
"CPIN","6350","-11.43","0.4","2.9","-6.77"
"CTRA","985","-10.85","44.27","17.39","-5.97"
"ERAA","2820","50.56","94.91","59.52","32.02"
"EXCL","2400","-30.82","-20.21","7.51","-17.03"
"GGRM","40250","-31.55","-20.19","-7.31","-3.39"
"HMSP","1435","-38.79","-23.24","-5.3","-6.58"
"ICBP","9500","-17.75","-0.78","-3.31","-1.04"
"INCO","6350","77.75","92.79","49.27","20.59"
"INDF","6625","-19.33","-0.75","-8.04","-3.66"
"INKP","13400","57.06","67.32","48.84","26.42"
"INTP","15200","-17.12","27.35","28.15","8.54"
"ITMG","12650","-6.93","61.89","47.04","-12.96"
"JPFA","1620","-6.79","29.61","32.46","-3.51"
"JSMR","4600","-12.34","4.33","24.12","-2.55"
"KLBF","1605","-3.44","4.04","-1.59","2.66"
"MDKA","2420","116.52","67.68","39.11","-4.23"
"MIKA","2650","10.4","18.97","4.15","-0.36"
"MNCN","1140","-30","22.4","41.77","-5.08"
"PGAS","1620","-26.56","32.33","44.13","-8.63"
"PTBA","2700","-2.47","30.19","34.63","-4.17"
"PTPP","1810","-0.88","69.35","82.16","-6.13"
"PWON","515","-16.92","13.55","19.7","-10.83"
"SCMA","2360","48.65","81.07","62.36","1.85"
"SMGR","11775","-3.49","25","28.09","-5.62"
"SMRA","750","-29.21","18.18","7.52","-15.88"
"SRIL","238","-16.3","11.88","8.65","-15.04"
"TBIG","2080","82.61","88.34","44.83","32.08"
"TKIM","13750","12.53","83.51","109.84","32.64"
"TLKM","3370","-19.11","5.16","20.3","-2.98"
"TOWR","1010","25.16","-6.57","-1","2.58"
"UNTR","24250","3.9","30.7","8.62","-9.45"
"UNVR","7250","-13.69","-10.49","-8.23","-3.01"
"WIKA","1835","-20.97","33.57","37.2","-11.37"
